Winner,Loser,Winner_Name,Loser_Name
6,54,['Jo-Wilfried-Tsonga'],['Grigor-Dimitrov']
6,45,['Jo-Wilfried-Tsonga'],['Juan-Carlos-Ferrero']
6,33,['Jo-Wilfried-Tsonga'],['Alexandr-Dolgopolov']
33,6,['Alexandr-Dolgopolov'],['Jo-Wilfried-Tsonga']
33,6,['Alexandr-Dolgopolov'],['Jo-Wilfried-Tsonga']
6,23,['Jo-Wilfried-Tsonga'],['Ivan-Ljubicic']
6,23,['Jo-Wilfried-Tsonga'],['Ivan-Ljubicic']
23,6,['Ivan-Ljubicic'],['Jo-Wilfried-Tsonga']
6,81,['Jo-Wilfried-Tsonga'],['Yen-Hsun-Lu']
6,17,['Jo-Wilfried-Tsonga'],['Fernando-Verdasco']
6,26,['Jo-Wilfried-Tsonga'],['Marin-Cilic']
82,6,['Alex-Bogomolov-Jr'],['Jo-Wilfried-Tsonga']
6,44,['Jo-Wilfried-Tsonga'],['Fabio-Fognini']
6,38,['Jo-Wilfried-Tsonga'],['Bernard-Tomic']
6,43,['Jo-Wilfried-Tsonga'],['Nicolas-Almagro']
6,43,['Jo-Wilfried-Tsonga'],['Nicolas-Almagro']
6,69,['Jo-Wilfried-Tsonga'],['Philipp-Kohlschreiber']
6,83,['Jo-Wilfried-Tsonga'],['Fernando-Gonzalez']
6,30,['Jo-Wilfried-Tsonga'],['David-Ferrer']
6,67,['Jo-Wilfried-Tsonga'],['Denis-Istomin']
20,6,['Radek-Stepanek'],['Jo-Wilfried-Tsonga']
6,84,['Jo-Wilfried-Tsonga'],['Michael-Berrer']
6,28,['Jo-Wilfried-Tsonga'],['Michael-Llodra']
6,28,['Jo-Wilfried-Tsonga'],['Michael-Llodra']
11,6,['Andy-Murray'],['Jo-Wilfried-Tsonga']
6,78,['Jo-Wilfried-Tsonga'],['Igor-Andreev']
47,6,['Stanislas-Wawrinka'],['Jo-Wilfried-Tsonga']
6,27,['Jo-Wilfried-Tsonga'],['Marcos-Baghdatis']
6,85,['Jo-Wilfried-Tsonga'],['Pere-Riba']
24,6,['Robin-Soderling'],['Jo-Wilfried-Tsonga']
24,6,['Robin-Soderling'],['Jo-Wilfried-Tsonga']
58,6,['Pablo-Cuevas'],['Jo-Wilfried-Tsonga']
6,55,['Jo-Wilfried-Tsonga'],['Sergiy-Stakhovsky']
53,6,['Mikhail-Youzhny'],['Jo-Wilfried-Tsonga']
6,65,['Jo-Wilfried-Tsonga'],['Philipp-Petzschner']
6,86,['Jo-Wilfried-Tsonga'],['Ruben-Ramirez-Hidalgo']
7,10,['Guillermo-Garcia-Lopez'],['Santiago-Giraldo']
10,7,['Santiago-Giraldo'],['Guillermo-Garcia-Lopez']
7,66,['Guillermo-Garcia-Lopez'],['James-Blake']
77,7,['Jurgen-Melzer'],['Guillermo-Garcia-Lopez']
63,7,['Kevin-Anderson'],['Guillermo-Garcia-Lopez']
63,7,['Kevin-Anderson'],['Guillermo-Garcia-Lopez']
7,35,['Guillermo-Garcia-Lopez'],['Somdev-K-Devvarman']
7,35,['Guillermo-Garcia-Lopez'],['Somdev-K-Devvarman']
35,7,['Somdev-K-Devvarman'],['Guillermo-Garcia-Lopez']
35,7,['Somdev-K-Devvarman'],['Guillermo-Garcia-Lopez']
42,7,['Gilles-Simon'],['Guillermo-Garcia-Lopez']
7,20,['Guillermo-Garcia-Lopez'],['Radek-Stepanek']
87,7,['Lukasz-Kubot'],['Guillermo-Garcia-Lopez']
39,7,['Karol-Beck'],['Guillermo-Garcia-Lopez']
7,88,['Guillermo-Garcia-Lopez'],['Robert-Kendrick']
44,7,['Fabio-Fognini'],['Guillermo-Garcia-Lopez']
76,7,['Xavier-Malisse'],['Guillermo-Garcia-Lopez']
7,47,['Guillermo-Garcia-Lopez'],['Stanislas-Wawrinka']
16,7,['Novak-Djokovic'],['Guillermo-Garcia-Lopez']
7,67,['Guillermo-Garcia-Lopez'],['Denis-Istomin']
25,7,['Feliciano-Lopez'],['Guillermo-Garcia-Lopez']
12,7,['Richard-Gasquet'],['Guillermo-Garcia-Lopez']
58,7,['Pablo-Cuevas'],['Guillermo-Garcia-Lopez']
72,7,['Ryan-Harrison'],['Guillermo-Garcia-Lopez']
41,7,['Nikolay-Davydenko'],['Guillermo-Garcia-Lopez']
34,7,['Tomas-Berdych'],['Guillermo-Garcia-Lopez']
